bus,bus_type,has_load,load_count
B1,load_or_connection,yes,1
B2,load_or_connection,yes,1
B3,load_or_connection,yes,1
B4,load_or_connection,yes,1
B5,load_or_connection,yes,1
B6,load_or_connection,yes,1
B7,load_or_connection,yes,1
B8,load_or_connection,yes,1
B9,load_or_connection,yes,1
B10,load_or_connection,yes,1
B11,load_or_connection,yes,1
B12,load_or_connection,yes,1
B13,load_or_connection,yes,1
B14,load_or_connection,yes,1
B15,load_or_connection,yes,1
B16,load_or_connection,yes,1
SE_17,source,no,0
SE_18,source,no,0
