line_id,bar_1,bar_2,length_km,option_id,imax_A,r1_ohm_km,x1_ohm_km,cost,is_base,original_z,notes
0,B1,B2,1,0,250,1,0,0,1,1,original_z_used_as_r1; x1_assumed_0
1,B2,B3,1,0,250,1,0,0,1,1,original_z_used_as_r1; x1_assumed_0
2,B3,B4,1,0,250,1,0,0,1,1,original_z_used_as_r1; x1_assumed_0
3,B1,B5,1,0,250,1,0,0,1,1,original_z_used_as_r1; x1_assumed_0
3,B1,B5,1,1,400,0.7,0,20,0,0.7,original_z_used_as_r1; x1_assumed_0
3,B1,B5,1,2,500,0.5,0,38,0,0.5,original_z_used_as_r1; x1_assumed_0
4,B5,B6,1,0,250,1,0,0,1,1,original_z_used_as_r1; x1_assumed_0
4,B5,B6,1,1,400,0.7,0,21,0,0.7,original_z_used_as_r1; x1_assumed_0
4,B5,B6,1,2,500,0.5,0,39,0,0.5,original_z_used_as_r1; x1_assumed_0
5,SE_17,B5,1,0,250,1,0,0,1,1,original_z_used_as_r1; x1_assumed_0
5,SE_17,B5,1,1,400,0.7,0,18,0,0.7,original_z_used_as_r1; x1_assumed_0
5,SE_17,B5,1,2,500,0.5,0,36,0,0.5,original_z_used_as_r1; x1_assumed_0
6,B12,B16,1,0,250,1,0,0,1,1,original_z_used_as_r1; x1_assumed_0
6,B12,B16,1,1,400,0.7,0,22,0,0.7,original_z_used_as_r1; x1_assumed_0
6,B12,B16,1,2,500,0.5,0,40,0,0.5,original_z_used_as_r1; x1_assumed_0
7,SE_18,B12,1,0,250,1,0,0,1,1,original_z_used_as_r1; x1_assumed_0
7,SE_18,B12,1,1,400,0.7,0,19,0,0.7,original_z_used_as_r1; x1_assumed_0
7,SE_18,B12,1,2,500,0.5,0,37,0,0.5,original_z_used_as_r1; x1_assumed_0
8,B4,B8,1,1,250,1,0,90,0,1,original_z_used_as_r1; x1_assumed_0
8,B4,B8,1,2,400,0.7,0,110,0,0.7,original_z_used_as_r1; x1_assumed_0
8,B4,B8,1,3,500,0.5,0,130,0,0.5,original_z_used_as_r1; x1_assumed_0
9,B5,B10,1,1,250,1,0,92,0,1,original_z_used_as_r1; x1_assumed_0
9,B5,B10,1,2,400,0.7,0,112,0,0.7,original_z_used_as_r1; x1_assumed_0
9,B5,B10,1,3,500,0.5,0,132,0,0.5,original_z_used_as_r1; x1_assumed_0
10,B6,B7,1,1,250,1,0,94,0,1,original_z_used_as_r1; x1_assumed_0
10,B6,B7,1,2,400,0.7,0,114,0,0.7,original_z_used_as_r1; x1_assumed_0
10,B6,B7,1,3,500,0.5,0,134,0,0.5,original_z_used_as_r1; x1_assumed_0
11,B7,B8,1,1,250,1,0,96,0,1,original_z_used_as_r1; x1_assumed_0
11,B7,B8,1,2,400,0.7,0,116,0,0.7,original_z_used_as_r1; x1_assumed_0
11,B7,B8,1,3,500,0.5,0,136,0,0.5,original_z_used_as_r1; x1_assumed_0
12,SE_18,B7,1,1,250,1,0,300,0,1,original_z_used_as_r1; x1_assumed_0
12,SE_18,B7,1,2,400,0.7,0,320,0,0.7,original_z_used_as_r1; x1_assumed_0
12,SE_18,B7,1,3,500,0.5,0,350,0,0.5,original_z_used_as_r1; x1_assumed_0
13,B8,B12,1,1,250,1,0,98,0,1,original_z_used_as_r1; x1_assumed_0
13,B8,B12,1,2,400,0.7,0,118,0,0.7,original_z_used_as_r1; x1_assumed_0
13,B8,B12,1,3,500,0.5,0,138,0,0.5,original_z_used_as_r1; x1_assumed_0
14,B9,B10,1,1,250,1,0,100,0,1,original_z_used_as_r1; x1_assumed_0
14,B9,B10,1,2,400,0.7,0,120,0,0.7,original_z_used_as_r1; x1_assumed_0
