load_id,bus,P_initial_kW,Q_initial_kVAr,P_stage_1_kW,Q_stage_1_kVAr,P_stage_2_kW,Q_stage_2_kVAr,P_stage_3_kW,Q_stage_3_kVAr,consumer_stage_1_code,consumer_stage_2_code,consumer_stage_3_code,consumer_stage_1_label,consumer_stage_2_label,consumer_stage_3_label
B1,B1,50,24.216105,50,24.216105,50,24.216105,50,24.216105,1,1,1,R,R,R
B2,B2,-1,-1,-1,-1,50,24.216105,50,24.216105,1,1,1,R,R,R
B3,B3,-1,-1,-1,-1,50,24.216105,50,24.216105,2,2,2,C,C,C
B4,B4,50,24.216105,50,24.216105,50,24.216105,50,24.216105,2,2,2,C,C,C
B5,B5,50,24.216105,50,24.216105,50,24.216105,50,24.216105,1,1,1,R,R,R
B6,B6,50,24.216105,50,24.216105,50,24.216105,50,24.216105,2,2,2,C,C,C
B7,B7,-1,-1,-1,-1,50,24.216105,50,24.216105,1,1,1,R,R,R
B8,B8,50,24.216105,50,24.216105,50,24.216105,50,24.216105,1,1,1,R,R,R
B9,B9,50,24.216105,50,24.216105,50,24.216105,100,48.43221,1,1,1,R,R,R
B10,B10,-1,-1,-1,-1,50,24.216105,100,48.43221,1,1,1,R,R,R
B11,B11,50,24.216105,50,24.216105,100,48.43221,150,72.648316,2,2,2,C,C,C
B12,B12,50,24.216105,50,24.216105,50,24.216105,50,24.216105,1,1,1,R,R,R
B13,B13,50,24.216105,50,24.216105,100,48.43221,150,72.648316,1,1,1,R,R,R
B14,B14,-1,-1,-1,-1,50,24.216105,100,48.43221,1,1,1,R,R,R
B15,B15,-1,-1,-1,-1,50,24.216105,100,48.43221,1,1,1,R,R,R
B16,B16,50,24.216105,50,24.216105,50,24.216105,50,24.216105,1,1,1,R,R,R
