bus,bus_type,has_load,load_count
SE_51,source,no,0
SE_52,source,no,0
SE_53,source,no,0
SE_54,source,no,0
B1,load_or_connection,yes,1
B2,load_or_connection,yes,1
B3,load_or_connection,yes,1
B4,load_or_connection,yes,1
B5,load_or_connection,yes,1
B6,load_or_connection,yes,1
B7,load_or_connection,yes,1
B8,load_or_connection,yes,1
B9,load_or_connection,yes,1
B10,load_or_connection,yes,1
B11,load_or_connection,yes,1
B12,load_or_connection,yes,1
B13,load_or_connection,yes,1
B14,load_or_connection,yes,1
B15,load_or_connection,yes,1
B16,load_or_connection,yes,1
B17,load_or_connection,yes,2
B18,load_or_connection,yes,1
B19,load_or_connection,yes,1
B20,load_or_connection,yes,1
B21,load_or_connection,yes,1
B22,load_or_connection,yes,1
B23,load_or_connection,yes,1
B24,load_or_connection,yes,1
B25,load_or_connection,yes,1
B26,load_or_connection,yes,1
B27,load_or_connection,yes,1
B28,load_or_connection,yes,1
B29,load_or_connection,yes,1
B30,load_or_connection,yes,1
B31,load_or_connection,yes,1
B32,load_or_connection,yes,2
B33,load_or_connection,yes,1
B34,load_or_connection,yes,1
B35,load_or_connection,yes,1
B36,load_or_connection,yes,1
B37,load_or_connection,yes,1
B38,load_or_connection,yes,1
B39,load_or_connection,yes,1
B40,load_or_connection,yes,1
B41,load_or_connection,yes,1
B42,load_or_connection,yes,1
B43,load_or_connection,yes,2
B44,load_or_connection,yes,2
B45,load_or_connection,yes,1
B46,load_or_connection,yes,1
B47,load_or_connection,yes,1
B48,load_or_connection,yes,1
B49,load_or_connection,yes,1
B50,load_or_connection,yes,1
