hour,R,C,I,I4
0,0.175,0.3,0.325,0.325
1,0.175,0.3,0.325,0.325
2,0.175,0.325,0.35,0.35
3,0.175,0.35,0.375,0.375
4,0.175,0.4,0.375,0.375
5,0.175,0.45,0.375,0.375
6,0.2,0.6,0.5,0.5
7,0.375,0.75,0.75,0.75
8,0.6,0.9,1.25,1.25
9,0.6,0.925,1.75,1.75
10,0.6,0.95,1.75,1.75
11,0.6,0.925,1.75,1.75
12,0.375,0.9,1.5,1.5
13,0.375,0.75,1,1
14,0.25,0.675,1,1
15,0.325,0.5,0.75,0.75
16,0.325,0.5,0.55,0.55
17,0.425,0.5,0.475,0.475
18,0.925,0.725,0.475,0.475
19,0.95,0.75,0.475,0.475
20,1,0.6,0.45,0.45
21,0.775,0.5,0.425,0.425
22,0.425,0.325,0.35,0.35
23,0.325,0.325,0.325,0.325
