load_id,bus,P_stage_1_kW,Q_stage_1_kVAr,consumer_stage_1,consumer_class_stage_1,P_stage_2_kW,Q_stage_2_kVAr,consumer_stage_2,consumer_class_stage_2
LD001,B1,1368.0,662.55,1,R,1511.99,732.29,1,R
LD002,B2,468.01,226.67,1,R,539.99,261.53,1,R
LD003,B3,179.99,87.17,2,C,252.0,122.05,2,C
LD004,B4,2484.0,1203.06,3,I,2646.0,1281.52,3,I
LD005,B5,2627.99,1272.79,3,I,2736.0,1325.1,3,I
LD006,B6,1152.0,557.94,3,I,1152.0,557.94,3,I
LD007,B7,179.99,87.17,1,R,360.0,174.36,1,R
LD008,B8,612.0,296.4,1,R,684.0,331.28,1,R
LD009,B9,720.0,348.71,1,R,432.01,209.23,1,R
LD010,B10,1764.0,854.34,3,I,1944.0,941.52,3,I
LD011,B11,108.01,52.31,2,C,108.01,52.31,2,C
LD012,B12,576.0,278.97,1,R,648.0,313.84,1,R
LD013,B13,360.0,174.36,1,R,396.0,191.79,1,R
LD014,B14,324.0,156.92,1,R,360.0,174.36,1,R
LD015,B15,432.01,209.23,1,R,503.99,244.09,1,R
LD016,B16,1440.0,697.42,3,I,1584.0,767.17,3,I
LD017,B17,108.0,52.31,1,R,126.0,61.02,1,R
LD018,B17,108.0,52.31,3,I,126.0,61.02,3,I
LD019,B18,360.0,174.36,1,R,432.01,209.23,1,R
LD020,B19,432.01,209.23,1,R,503.99,244.09,1,R
LD021,B20,252.0,122.05,1,R,288.0,139.48,1,R
LD022,B21,576.0,278.97,1,R,648.0,313.84,1,R
LD023,B22,360.0,174.36,2,C,396.0,191.79,2,C
LD024,B23,324.0,156.92,2,C,360.0,174.36,2,C
LD025,B24,144.01,69.75,1,R,179.99,87.17,1,R
LD026,B25,288.0,139.48,2,C,324.0,156.92,2,C
LD027,B26,288.0,139.48,1,R,432.01,209.23,1,R
LD028,B27,432.01,209.23,1,R,539.99,261.53,1,R
LD029,B28,179.99,87.17,1,R,252.0,122.05,1,R
LD030,B29,324.0,156.92,1,R,503.99,244.09,1,R
LD031,B30,827.99,401.02,1,R,936.0,453.32,1,R
LD032,B31,252.0,122.05,2,C,252.0,122.05,2,C
LD033,B32,270.0,130.77,1,R,306.0,148.2,1,R
LD034,B32,270.0,130.77,3,I,306.0,148.2,3,I
LD035,B33,827.99,401.02,1,R,1044.0,505.63,1,R
LD036,B34,360.0,174.36,1,R,432.01,209.23,1,R
LD037,B35,-1,-1,1,R,324.0,156.92,1,R
LD038,B36,72.0,34.87,1,R,108.01,52.31,1,R
LD039,B37,576.0,278.97,1,R,756.0,366.15,1,R
LD040,B38,-1,-1,1,R,396.0,191.79,1,R
LD041,B39,324.0,156.92,1,R,360.0,174.36,1,R
LD042,B40,432.01,209.23,1,R,503.99,244.09,1,R
LD043,B41,179.99,87.17,1,R,324.0,156.92,1,R
LD044,B42,-1,-1,1,R,432.01,209.23,1,R
LD045,B43,-1,-1,1,R,234.0,113.33,1,R
LD046,B43,-1,-1,3,I,234.0,113.33,3,I
LD047,B44,180.0,87.18,1,R,252.0,122.05,1,R
LD048,B44,180.0,87.18,3,I,252.0,122.05,3,I
LD049,B45,179.99,87.17,2,C,288.0,139.48,2,C
LD050,B46,576.0,278.97,1,R,648.0,313.84,1,R
LD051,B47,179.99,87.17,1,R,360.0,174.36,1,R
LD052,B48,215.99,104.61,2,C,288.0,139.48,2,C
LD053,B49,215.99,104.61,1,R,179.99,87.17,1,R
LD054,B50,-1,-1,2,C,288.0,139.48,2,C
