hour,R,C,I,I4
0,0.45,0.2,0.65,0.7
1,0.4,0.18,0.63,0.68
2,0.38,0.17,0.62,0.67
3,0.37,0.17,0.62,0.67
4,0.38,0.18,0.63,0.68
5,0.45,0.25,0.68,0.72
6,0.6,0.45,0.75,0.8
7,0.75,0.75,0.85,0.9
8,0.85,0.95,0.95,1.0
9,0.78,1.0,1.0,1.0
10,0.7,0.98,1.0,1.0
11,0.68,0.95,0.98,1.0
12,0.72,0.9,0.96,0.98
13,0.7,0.92,0.98,1.0
14,0.68,0.95,1.0,1.0
15,0.72,1.0,1.0,1.0
16,0.85,0.9,0.95,0.98
17,1.0,0.7,0.9,0.95
18,0.95,0.5,0.85,0.9
19,0.88,0.38,0.8,0.85
20,0.75,0.3,0.75,0.8
21,0.65,0.25,0.72,0.78
22,0.58,0.22,0.7,0.75
23,0.5,0.2,0.68,0.72
