load_id,bus,P_stage_1_kW,Q_stage_1_kVAr,consumer_stage_1,consumer_class_stage_1,P_stage_2_kW,Q_stage_2_kVAr,consumer_stage_2,consumer_class_stage_2,P_stage_3_kW,Q_stage_3_kVAr,consumer_stage_3,consumer_class_stage_3
LD001,B1,1188,575.36,1,R,1368,662.56,1,R,1512,732.28,1,R
LD002,B2,396,191.8,1,R,468,226.68,1,R,540,261.52,1,R
LD003,B3,144,69.76,2,C,180,87.16,2,C,252,122.04,2,C
LD004,B4,504,244.08,2,C,684,331.28,2,C,396,191.8,2,C
LD005,B5,720,348.72,1,R,828,401,1,R,936,453.32,1,R
LD006,B6,216,104.6,2,C,252,122.04,2,C,252,122.04,2,C
LD007,B7,72,34.88,1,R,180,87.16,1,R,360,174.36,1,R
LD008,B8,540,261.52,1,R,612,296.4,1,R,684,331.28,1,R
LD009,B9,684,331.28,1,R,720,348.72,1,R,432,209.24,1,R
LD010,B10,720,348.72,1,R,864,418.44,1,R,1044,505.64,1,R
LD011,B11,72,34.88,2,C,108,52.32,2,C,108,52.32,2,C
LD012,B12,360,174.36,1,R,576,278.96,1,R,648,313.84,1,R
LD013,B13,324,156.92,1,R,360,174.36,1,R,396,191.8,1,R
LD014,B14,288,139.48,1,R,324,156.92,1,R,360,174.36,1,R
LD015,B15,360,174.36,1,R,432,209.24,1,R,504,244.08,1,R
LD016,B16,468,226.68,1,R,540,261.52,1,R,684,331.28,1,R
LD017,B17,90,43.58,1,R,108,52.3,1,R,126,61.02,1,R
LD018,B17,90,43.58,4,I4,108,52.3,4,I4,126,61.02,4,I4
LD019,B18,324,156.92,1,R,360,174.36,1,R,432,209.24,1,R
LD020,B19,360,174.36,1,R,432,209.24,1,R,504,244.08,1,R
LD021,B20,180,87.16,1,R,252,122.04,1,R,288,139.48,1,R
LD022,B21,180,87.16,1,R,576,278.96,1,R,648,313.84,1,R
LD023,B22,180,87.16,2,C,360,174.36,2,C,396,191.8,2,C
LD024,B23,180,87.16,2,C,324,156.92,2,C,360,174.36,2,C
LD025,B24,180,87.16,1,R,144,69.76,1,R,180,87.16,1,R
LD026,B25,216,104.6,2,C,288,139.48,2,C,324,156.92,2,C
LD027,B26,-1,-1,1,R,288,139.48,1,R,432,209.24,1,R
LD028,B27,-1,-1,1,R,432,209.24,1,R,540,261.52,1,R
LD029,B28,144,69.76,1,R,180,87.16,1,R,252,122.04,1,R
LD030,B29,216,104.6,1,R,324,156.92,1,R,504,244.08,1,R
LD031,B30,720,348.72,1,R,828,401,1,R,936,453.32,1,R
LD032,B31,216,104.6,2,C,252,122.04,2,C,252,122.04,2,C
LD033,B32,-1,-1,1,R,270,130.76,1,R,306,148.2,1,R
LD034,B32,-1,-1,3,I,270,130.76,4,I4,306,148.2,4,I4
LD035,B33,648,313.84,1,R,828,401,1,R,1044,505.64,1,R
LD036,B34,324,156.92,1,R,360,174.36,1,R,432,209.24,1,R
LD037,B35,-1,-1,1,R,-1,-1,1,R,324,156.92,1,R
LD038,B36,72,34.88,1,R,72,34.88,1,R,108,52.32,1,R
LD039,B37,360,174.36,1,R,576,278.96,1,R,756,366.16,1,R
LD040,B38,-1,-1,1,R,-1,-1,1,R,396,191.8,1,R
LD041,B39,288,139.48,1,R,324,156.92,1,R,360,174.36,1,R
LD042,B40,360,174.36,1,R,432,209.24,1,R,504,244.08,1,R
LD043,B41,108,52.32,1,R,180,87.16,1,R,324,156.92,1,R
LD044,B42,-1,-1,1,R,-1,-1,1,R,432,209.24,1,R
LD045,B43,-1,-1,1,R,-1,-1,1,R,234,113.34,1,R
LD046,B43,-1,-1,3,I,-1,-1,3,I,234,113.34,4,I4
LD047,B44,90,43.58,1,R,180,87.18,1,R,252,122.04,1,R
LD048,B44,90,43.58,3,I,180,87.18,4,I4,252,122.04,4,I4
LD049,B45,180,87.16,2,C,180,87.16,2,C,288,139.48,2,C
LD050,B46,-1,-1,1,R,576,278.96,1,R,648,313.84,1,R
LD051,B47,180,87.16,1,R,180,87.16,1,R,360,174.36,1,R
LD052,B48,180,87.16,2,C,216,104.6,2,C,288,139.48,2,C
LD053,B49,-1,-1,1,R,216,104.6,1,R,180,87.16,1,R
LD054,B50,-1,-1,2,C,-1,-1,2,C,288,139.48,2,C
